AMBL	C6904	C1266180
IBC	C4001	C0278601
GTD	C4699	C1135868
CHGL	C5592	C1322252
RCC	C9385	C0007134
PCT	C27725	C0162566
MNET	C7172	C1332889
VULVA	C12408	C0042993
SSRCC	C5250	C1335965
DASTR	C7173	C0280785
PRAD	C2919	C0007112
MSTAD	C5248	C1334809
OSOS	C53953	C1704328
PTES	C27472	C1335563
PPM	C3904	C3163622
VSC	C7736	C0238518
PMBL	C9280	C1292754
SPCC	C45541	C1708784
MTNN	C3466	C0079772
HDCN	C3106	C0019618
RDD	C36075	C0019625
MYELOID	C12434	C0005767
EMALT	C3898	C0242647
TLGL	C4664	C1955861
MBN	C3457	CL448793
CLLSLL	C7540	C0855095
PCM	C3242	C0026764
ABL	C3164	C0023437
ALAL	C7464	C1301357
AMKL	C3170	C0023462
AMML	C7463	C0023479
APMF	C4344	C0334674
AUL	C9298	C0280141
ATLL	C3184	C0023493
ANKL	C8647	C1292777
ASM	C9285	C1112486
ALKLBCL	C7225	C1333294
AHCD	C3132	C0021071
AMLRBM15MKL1	C82427	C2826173
AMLBCRABL1	C129785	C4329268
AMLCEBPA	C129782	C5230404
AMLCBFBMYH11	C9287	C5395080
AMLGATA2MECOM	C82426	C4055495
AM	C3250	C1879321
AMLMD	C8460	C0522631
AMLNPM1	C82431	C2826177
AMLRUNX1	C129786	C4329271
AMLMRC	C7600	C2825139
AMLRGA	C7175	C1275661
AMLDEKNUP214	C82423	C2826169
AMLRUNX1RUNX1T1	C9288	C1292774
AMLMLLT3KMT2A	C82403	C1541334
AMLRARA	C36055	C2825128
AWM	C3249	C0026998
AMLNOS	C27753	C0023467
MIDDA	C2868	C0002726
ALCLALKN	C37194	C1332078
ALCLALKP	C37193	C1332079
APLPMLRARA	C7968	C0279625
ACML	C3519	C1292772
BCLU	C179721	C1333878
BPLL	C4753	C0475801
BLL	C8936	C0862030
BLLHYPER	C80335	C2698311
BLLHYPO	C80338	C2698312
BLLIAMP21	C130039	C4329384
BLLRGA	C80328	C2698313
BLLTCF3PBX1	C80341	C2698315
BLLETV6RUNX1	C80334	C2698314
BLLIL3IGH		C2698316
BLLBCRABL1	C80331	C2698317
BLLKMT2A	C80332	C2698309
BLLBCRABL1L	C129787	C4329382
BLLNOS	C80326	C2698310
BIALCL	C139012	C4528210
BLL11Q	C131911	C4330613
CELNOS	C4563	C0346421
CLPDNK	C39591	C1512709
CMLBCRABL1	C3174	C2861580
CMML0	C130035	C4329667
CMML1	C36061	C1333043
CMML2	C36062	C1333044
CNL	C3179	C0023481
CMCD	C7137	C1136033
DLBCLNOS	C45231	C1710498
DLBCLCI	C80289	C2699776
DFL	C138185	C4524187
ETPLL	C130043	C4329780
EBVDLBCLNOS	C80281	C5707789
EBVMCU	C131906	C4324739
EATL	C4737	C0456889
ET	C3407	C0040028
ENKL		C0392788
EP	C4002	C0278619
FTCL	C139005	C2700204
GHCD	C3083	C0018854
GCB	C36080	C1333295 
HCL-V	C7401	C0349633
HSTCL	C8459	C1333984
HHV8DLBCL		C4527554
HGBCL	C80291	C0456863
HGBCLMYCBCL2	C131913	C4524190
HVLL	C45327	C1708397
ISFN	C138181	C4524188
ISMCL	C138191	C4527429
ISM	C9286	C0272203
ITLPDGI	C139021	C4528218
IVBCL	C4342	C0334660
JMML	C9233	C0349639
LBLIRF4	C133494	C4524676
LYG	C7930	C0024307
LYP	C3721	C0206182
LPL	C3212	C0334633
SMMCL	C3169	C0023461
MCSL	C9348	C0036221
MCD	C84269	C0024899
MDSEB	C7506	C1318550
MDSEB1	C7167	C1318550
MDSEB2	C7168	C1318551
MDSID5Q	C6867	C1292779
MDSMD	C8574	C0796466
MDSRSMD	C27726	C1301356
MDSRSSLD	C130037	C4330726
MDSSLD	C82591	C2826318
MDSU	C8648	C1268964
MDSMPNRST	C82616	C2826330
MDSMPNU	C27780	C1268964
MPALBCRABL1	C82192	C2826037
MPALKMT2A	C82203	C2826048
MPALBNOS	C82212	C3472616
MPALTNOS	C82213	C2826055
MCBCL	C80310	C2698259
MGUS	C3996	C0026470
MIDD	C7151	C2939462 
MIDDO		C2939462
MEITL	C96058	C3272525
MHCD	C3892	C0242310
MDS/MPN	C27262	C1301355
MLADS	C43223	C2825149
MNGLP		C4330727
MPRDS	C82338	C2826104
MS	C3520	C4721505
MLNER	C84270	C2827356
MLNFGFR1	C84277	C2827356
MLNPCM1JAK2	C129853	C5229383
MLNPDGFRA	C84275	C2827360
MLNPDGFRB	C84276	C3472621
MPNU	C27350	C1333046
NKCLL	C82217	C2826059
NPTLTFH	C168778	C4528209
PTFL	C80297	C2698750
PTCL	C4340	C0079774
PLBL	C7224	C3472614
PV	C3336	C0032463
PCATCL	C139023	C4528220
PCALCL	C6860	C1301362
PCLPD		C1371159
PCSMTPLD	C45366	C4528627
PCAECTCL	C45339	C4518232
PCLBCLLT	C45194	C1709656
PCFCL	C7217	C1333171
PCGDTCL	C45340	C1707547
PMF	C2862	C0001815
PMFPES	C41237	C1516553
PMFOFS	C41238	C1516552
PERL	C7467	C4520841
RCYC	C82596	C2826323
SS	C3366	C0036920
SSM	C115460	C3897042
SPB	C7812	C0272256
SBLU	C80308	C2699507
SDRPL	C80309	C2699508
SPTCL	C6918	C0522624
SEBVTLC		C2699747
SMAHN		C1301365
TPLL	C4752	C2363142
THRLBCL		C1321547
TAML	C8252	C1336735
TMDS	C27722	C1292780
TMN	C27912	C1292776
TLL	C8694	CN294567
TAM		C1834582
